Date,Time,IP,User,File,Pages
01-04-2013,"12:09:46 PM",10.9.30.14,s.shikhar,"NOMINATION FORM FOR HOSTEL ELECTIONS.pdf",1
01-04-2013,"01:11:07 PM",202.141.80.80,j.jitender,Document2.pdf,1
01-04-2013,"06:52:16 PM",10.9.22.11,j.naman,Agendas.pdf,1
01-04-2013,"06:52:25 PM",10.9.22.11,j.naman,"NOMINATION FORM FOR HOSTEL ELECTIONS.pdf",1
01-04-2013,"07:14:36 PM",10.9.22.11,j.naman,"NOMINATION FORM FOR HOSTEL ELECTIONS.pdf",1
01-04-2013,"10:57:16 PM",202.141.80.19,santosh12,bcform.pdf,1
01-04-2013,"11:56:34 PM",202.141.80.22,anurag.verma,1-s2.0-S0304389408012053-main_4.pdf,7
02-04-2013,"12:00:26 AM",202.141.80.22,anurag.verma,1-s2.0-S0360128508000191-main.pdf,11
02-04-2013,"12:36:12 AM",202.141.80.19,a.ratna,PH102_9.pdf,1
02-04-2013,"12:30:47 PM",202.141.80.80,j.jitender,Document2.pdf,1
02-04-2013,"06:59:46 PM",202.141.80.80,kameng,To.pdf,1
02-04-2013,"10:44:32 PM",10.9.23.12,g.kapil,"BTP Topics 2013 2014 (Kapil).pdf",8
02-04-2013,"10:46:22 PM",10.9.23.12,g.kapil,"BTP allotment form 2013.pdf",1
02-04-2013,"10:46:33 PM",10.9.23.12,g.kapil,"BTP allotment form 2013.pdf",1
03-04-2013,"01:06:20 AM",10.9.23.12,kameng,"sn joshi.pdf",1
05-04-2013,"10:43:27 AM",202.141.80.80,m.ratnakar,"BTP allotment form 2013.pdf",1
05-04-2013,"11:07:29 AM",202.141.80.80,m.ratnakar,"BTP Topics 2013 2014.pdf",8
05-04-2013,"07:43:40 PM",202.141.80.20,subrahmanya,bcform.pdf,1
06-04-2013,"06:21:08 AM",10.9.13.18,s.sudeep,internform.pdf,1
06-04-2013,"02:21:35 PM",202.141.80.22,k.pamu,1365092400236mDvMj64JHDDzyCbC.pdf,4
06-04-2013,"02:21:56 PM",202.141.80.22,k.pamu,"ID Card.pdf",1
06-04-2013,"02:25:20 PM",202.141.80.22,k.pamu,"police complaint.pdf",1
06-04-2013,"05:09:37 PM",202.141.80.80,j.vaibhav,NOC-parents3.pdf,1
06-04-2013,"05:09:55 PM",202.141.80.80,j.vaibhav,NOC-parents3.pdf,1
06-04-2013,"08:49:34 PM",202.141.80.22,ashwik,Marks.pdf,1
07-04-2013,"10:16:47 PM",202.141.80.19,d.rathod,"GATE PASS.pdf",1
07-04-2013,"10:26:28 PM",202.141.80.19,j.tarun,sd.pdf,1
08-04-2013,"01:37:19 AM",202.141.80.22,a.abhijeet,Notice_ESE2013_english1.pdf,1
08-04-2013,"01:39:05 AM",202.141.80.22,a.abhijeet,Notice_ESE2013_english2.pdf,3
08-04-2013,"01:40:06 AM",202.141.80.22,a.abhijeet,Notice_ESE2013_english3.pdf,3
08-04-2013,"01:40:24 AM",202.141.80.22,a.abhijeet,Notice_ESE2013_english1.pdf,1
08-04-2013,"01:41:03 AM",202.141.80.22,a.abhijeet,Notice_ESE2013_english2.pdf,3
08-04-2013,"01:41:29 AM",202.141.80.22,a.abhijeet,Notice_ESE2013_english3.pdf,3
08-04-2013,"10:29:18 AM",10.9.30.18,j.tarun,"GATE PASS.pdf",1
08-04-2013,"10:29:35 AM",10.9.30.18,j.tarun,reimbersement_form.pdf,1
08-04-2013,"11:17:56 AM",202.141.80.80,j.tarun,"BTP Topics 2013 2014.pdf",8
08-04-2013,"11:45:18 PM",202.141.80.22,m.ratnakar,pappport.pdf,2
08-04-2013,"11:47:17 PM",202.141.80.22,m.ratnakar,"Application Form.pdf",1
09-04-2013,"06:55:34 AM",202.141.80.19,a.ratna,PH102_10.pdf,1
09-04-2013,"10:42:17 PM",202.141.80.22,a.syal,"BGC- Amazon Development Centre, India.pdf",6
09-04-2013,"11:10:48 PM",10.9.23.8,j.tarun,"1.Final Report.pdf",19
10-04-2013,"04:41:08 PM",10.9.30.19,t.garg,Jaggi.pdf,10
10-04-2013,"05:06:07 PM",202.141.80.19,tarun.sahu,bcform.pdf,1
10-04-2013,"06:07:08 PM",202.141.80.19,tarun.sahu,indent-gh-stud.pdf,1
11-04-2013,"09:33:35 PM",202.141.80.19,a.ratna,tute-6.pdf,2
13-04-2013,"10:55:18 PM",202.141.80.19,tarun.sahu,tute-5.pdf,2
13-04-2013,"10:55:31 PM",202.141.80.19,tarun.sahu,tute-5.pdf,2
13-04-2013,"10:56:55 PM",202.141.80.19,tarun.sahu,minor.pdf,1
